,id,title,city,postDate,updateDate,tags,commentCount,upRank,downRank,start_price
73,69908260,ابغى ايفون x اوxr,الشرقيه,2021-01-30 05:46:09,2021-01-30 05:46:09,"['empty', 'ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",0,0,0,1200
74,69908259,بيقو لايف,الرياض,2021-01-30 05:46:04,2021-01-30 05:46:04,"['حراج الأجهزة', 'سوني Sony']",0,2,0,0
75,69908253,سوني 4,جيزان,2021-01-30 05:45:42,2021-01-30 05:45:42,"['حراج الأجهزة', 'سوني Sony']",13,0,0,0
76,69908251,بلاك شارك ون,الطايف,2021-01-30 05:45:33,2021-01-30 05:45:33,"['اجهزة غير مصنفة', 'حراج الأجهزة']",0,0,0,0
77,69908248,ابل واتش 3 ساعة ابل 3,الرياض,2021-01-30 05:45:25,2021-01-30 05:45:25,"['ابل Apple', 'حراج الأجهزة', 'ساعة أبل Apple Watch', 'كل الحراج']",3,0,0,0
78,69908239,ايباد 7 للبيع,جده,2021-01-30 05:44:54,2021-01-30 05:44:54,"['ابل Apple', 'ايباد iPad', 'حراج الأجهزة']",4,0,0,0
79,69908237,لابتوب dell صغير,الرياض,2021-01-30 05:44:51,2021-01-30 05:44:51,"['حراج الأجهزة', 'ديل DELL']",0,0,0,500
80,69908235,حساب ببجي مميز جدا,حفر الباطن,2021-01-30 05:44:45,2021-01-30 05:44:45,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة', 'كل الحراج']",2,0,0,0
81,69908226,ايفون اكس ار,مكه,2021-01-30 05:44:07,2021-01-30 05:44:07,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",5,0,0,0
82,69908224,علبة ايفون 6,الجوف,2021-01-30 05:43:53,2021-01-30 05:43:53,"['اجهزة غير مصنفة', 'حراج الأجهزة', 'كل الحراج']",1,4,0,0
83,69908223,مليون كوينز للبيع,مكه,2021-01-30 05:43:45,2021-01-30 05:43:45,"['حراج الأجهزة', 'سوني Sony', 'كل الحراج']",3,0,0,0
84,69908222,ايفون 12  11,أبها,2021-01-30 05:43:43,2021-01-30 05:43:43,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",2,0,0,0
85,69908212,شحن الماس بيقو لايف bigolive,الرياض,2021-01-30 05:42:49,2021-01-30 05:42:49,"['stc', 'اجهزة غير مصنفة', 'الأهلي', 'الراجحي', 'حراج الأجهزة']",0,2,1,0
86,69908207,آيفون 12 العادي جديد بقراطيسه ما انفك,أبها,2021-01-30 05:42:11,2021-01-30 05:42:11,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",5,0,0,0
87,69908204,حساب للبيع,المدينة,2021-01-30 05:41:46,2021-01-30 05:41:46,"['حراج الأجهزة', 'سوني Sony']",2,0,0,0
88,69908201,جوال نوكيا 216 فيتنامي,الطايف,2021-01-30 05:41:19,2021-01-30 05:41:19,"['حراج الأجهزة', 'نوكيا Nokia']",0,19,0,0
89,69908200,حساب ببجي للبيع لفل70 لتواصل وتساب0552487592,الرياض,2021-01-30 05:41:15,2021-01-30 05:41:15,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة', 'كل الحراج']",2,0,0,350
90,69908197,ساعة ذكية شبيهة ابل الاصدار السادس مواصفات رهيبة,المدينة,2021-01-30 05:41:05,2021-01-30 05:41:05,"['اجهزة غير مصنفة', 'حراج الأجهزة']",0,15,0,198
91,69908192,جوال أيفونx,جيزان,2021-01-30 05:40:40,2021-01-30 05:40:40,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة', 'كل الحراج']",0,0,0,0
92,69908189,دريل هلتى من هاى ماكس الاصلى 800 واط,جده,2021-01-30 05:40:28,2021-01-30 05:40:28,"['اجهزة غير مصنفة', 'حراج الأجهزة', 'كل الحراج']",0,0,0,0
93,69908185,سوني 3 نظيف للبيع,الرياض,2021-01-30 05:40:20,2021-01-30 05:40:20,"['اجهزة بلاي ستيشن PS', 'جهاز إلكتروني', 'حراج الأجهزة', 'سوني Sony']",3,0,0,0
94,69908184,ساسمونج A-7,المدينة,2021-01-30 05:40:17,2021-01-30 05:40:17,"['اجهزة غير مصنفة', 'حراج الأجهزة', 'كل الحراج']",0,0,0,0
95,69908177,ايفون 6s فضي,الرياض,2021-01-30 05:39:34,2021-01-30 05:39:34,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",9,0,0,0
